,Quarter,close,volume,ticker
457,22.Q4,142.4,150059100,PG
458,22.Q3,134.7,144766200,PG
459,22.Q2,138.9,131172900,PG
460,22.Q1,160.6,151984400,PG
461,21.Q4,160.4,195173500,PG
462,21.Q3,143.0,137102900,PG
463,21.Q2,142.2,152014300,PG
464,21.Q1,133.4,166855600,PG
465,20.Q4,128.2,154857200,PG
466,20.Q3,137.1,126549000,PG
467,20.Q2,131.1,142767200,PG
468,20.Q1,117.9,245058600,PG
469,19.Q4,124.6,154118600,PG
470,19.Q3,124.5,151910300,PG
471,19.Q2,118.0,166952300,PG
472,19.Q1,106.5,148284900,PG
473,18.Q4,96.5,225455800,PG
474,18.Q3,88.7,273769800,PG
475,24.Q3,393.8,70786300,HD
476,24.Q2,368.2,67270400,HD
477,24.Q1,334.2,83562400,HD
478,23.Q4,353.0,65234300,HD
479,23.Q3,284.7,60465900,HD
480,23.Q2,333.8,58379600,HD
481,23.Q1,300.5,62482100,HD
482,22.Q4,324.2,63001800,HD
483,22.Q3,296.1,65951000,HD
484,22.Q2,300.9,54082200,HD
485,22.Q1,300.4,86697000,HD
486,21.Q4,367.0,101082900,HD
487,21.Q3,371.7,59686400,HD
488,21.Q2,328.2,60847700,HD
489,21.Q1,323.7,81662500,HD
490,20.Q4,270.8,76246100,HD
491,20.Q3,266.7,59503400,HD
492,20.Q2,265.5,66948200,HD
493,20.Q1,219.8,120713600,HD
494,19.Q4,228.1,97265400,HD
495,19.Q3,234.6,62599000,HD
496,19.Q2,213.7,64167400,HD
497,19.Q1,203.7,71203800,HD
498,18.Q4,183.5,98771800,HD
499,18.Q3,175.9,133142600,HD
500,24.Q3,756.0,85336900,NFLX
501,24.Q2,628.3,80908700,NFLX
502,24.Q1,550.6,93979800,NFLX
503,23.Q4,564.1,145889000,NFLX
504,23.Q3,411.7,164021900,NFLX
505,23.Q2,439.0,168720200,NFLX
506,23.Q1,329.9,127984500,NFLX
507,22.Q4,353.9,206417400,NFLX
508,22.Q3,291.9,335263800,NFLX
509,22.Q2,224.9,270083700,NFLX
510,22.Q1,190.4,403325400,NFLX
511,21.Q4,427.1,241662000,NFLX
512,21.Q3,690.3,98576300,NFLX
513,21.Q2,517.6,77221200,NFLX
514,21.Q1,513.5,111573300,NFLX
515,20.Q4,532.4,139988600,NFLX
516,20.Q3,475.7,154302400,NFLX
517,20.Q2,488.9,232206300,NFLX
518,20.Q1,419.9,225111600,NFLX
519,19.Q4,345.1,169874000,NFLX
520,19.Q3,287.4,231556400,NFLX
521,19.Q2,323.0,196652500,NFLX
522,19.Q1,370.5,165079400,NFLX
523,18.Q4,339.5,306616400,NFLX
524,18.Q3,301.8,363589800,NFLX
525,24.Q3,159.9,133026800,JNJ
526,24.Q2,157.9,151359400,JNJ
527,24.Q1,144.6,175712200,JNJ
528,23.Q4,158.9,138190400,JNJ
529,23.Q3,148.3,152893600,JNJ
530,23.Q2,167.5,201425400,JNJ
531,23.Q1,163.7,146069800,JNJ
532,22.Q4,163.4,160524000,JNJ
533,22.Q3,174.0,139408400,JNJ
534,22.Q2,174.5,114640700,JNJ
535,22.Q1,180.5,163454500,JNJ
536,21.Q4,172.3,165534400,JNJ
537,21.Q3,162.9,136327000,JNJ
538,21.Q2,172.2,133724800,JNJ
539,21.Q1,162.7,162648500,JNJ
540,20.Q4,163.1,184488700,JNJ
541,20.Q3,137.1,137284700,JNJ
542,20.Q2,145.8,137880400,JNJ
543,20.Q1,150.0,234380900,JNJ
544,19.Q4,148.9,150462900,JNJ
545,19.Q3,132.0,206654300,JNJ
546,19.Q2,130.2,159847900,JNJ
547,19.Q1,141.2,124329800,JNJ
548,18.Q4,133.1,174392900,JNJ
549,18.Q3,140.0,167964600,JNJ
550,24.Q3,41.8,722829900,BAC
551,24.Q2,40.3,868095500,BAC
552,24.Q1,37.0,904422400,BAC
553,23.Q4,34.0,933961800,BAC
554,23.Q3,26.3,1225313600,BAC
555,23.Q2,32.0,968771600,BAC
556,23.Q1,29.3,1028196100,BAC
557,22.Q4,35.5,809281100,BAC
558,22.Q3,36.0,980931500,BAC
559,22.Q2,33.8,814208000,BAC
560,22.Q1,35.7,1032209900,BAC
561,21.Q4,46.1,1225178700,BAC
562,21.Q3,47.8,917220900,BAC
563,21.Q2,38.4,1060522600,BAC
564,21.Q1,40.5,1029977500,BAC
565,20.Q4,29.6,1085862900,BAC
566,20.Q3,23.7,1296966100,BAC
567,20.Q2,24.9,1388503300,BAC
568,20.Q1,24.0,1636723300,BAC
569,19.Q4,32.8,995093800,BAC
570,19.Q3,31.3,1206828400,BAC
571,19.Q2,30.7,963999300,BAC
572,19.Q1,30.6,1226771800,BAC
573,18.Q4,28.5,1644923700,BAC
574,18.Q3,27.5,1818210500,BAC
575,24.Q3,291.4,93086600,CRM
576,24.Q2,258.8,122233500,CRM
577,24.Q1,268.9,115785600,CRM
578,23.Q4,281.1,115434600,CRM
579,23.Q3,200.8,88825500,CRM
580,23.Q2,225.0,101123100,CRM
581,23.Q1,198.4,89847400,CRM
582,22.Q4,168.0,201955700,CRM
583,22.Q3,162.6,139814200,CRM
584,22.Q2,184.0,93357300,CRM
585,22.Q1,175.9,139767900,CRM
586,21.Q4,232.6,162490700,CRM
587,21.Q3,299.7,90870800,CRM
588,21.Q2,241.9,129733200,CRM
589,21.Q1,230.3,106170300,CRM
590,20.Q4,225.6,153537600,CRM
591,20.Q3,232.3,92287700,CRM
592,20.Q2,194.9,103712300,CRM
593,20.Q1,161.9,145961100,CRM
594,19.Q4,182.3,104773200,CRM
595,19.Q3,156.5,100268100,CRM
596,19.Q2,154.5,113128800,CRM
597,19.Q1,165.4,80967300,CRM
598,18.Q4,152.0,117780700,CRM
599,18.Q3,137.2,156926500,CRM
600,24.Q3,203.9,115796200,ABBV
601,24.Q2,185.3,111034700,ABBV
