Ticker,Quarter,매출액,영업이익,순이익,자산총액,부채총액,자본총액,영업활동,투자활동,재무활동
PEG,23.06/30,"2,421",794,591,"49,505","34,452","15,053",572,-405,-824
PEG,23.03/31,"3,755","1,648","1,287","49,409","34,683","14,726","1,837",-714,-380
PEG,22.12/31,"3,139",964,788,"48,718","34,989","13,729",802,-802,93
PEG,22.09/30,"2,272",173,114,"47,741","34,490","13,251",345,-830,"-1,343"
PEG,22.06/30,"2,076",296,131,"49,608","36,180","13,428",-116,-652,"1,372"
PEG,22.03/31,"2,313",-52,-2,"47,774","34,176","13,598",472,"1,183",-876
PEG,21.12/31,"3,056",902,445,"48,999","34,561","14,438",558,-661,-894
PEG,21.09/30,"1,903","-2,205","-1,564","49,426","35,357","14,069",129,-790,"2,377"
PEG,21.06/30,"1,874",-294,-177,"49,292","33,414","15,878",22,-169,-550
PEG,21.03/31,"2,889",741,648,"50,206","33,929","16,277","1,027",-624,-134
PEG,20.12/31,"2,402",433,431,"50,050","34,066","15,984",585,-821,-191
PEG,20.09/30,"2,370",633,575,"49,576","33,740","15,836",853,-422,101
PEG,20.06/30,"2,050",407,451,"48,780","33,289","15,491",511,-709,-177
PEG,20.03/31,"2,781",797,448,"48,365","33,116","15,249","1,153",-724,237
PEG,19.12/31,"2,478",507,437,"47,730","32,641","15,089",670,-786,136
PEG,19.09/30,"2,302",490,403,"46,815","31,890","14,925",885,-737,-107
PEG,19.06/30,"2,316",160,153,"46,280","31,526","14,754",606,-806,219
PEG,19.03/31,"2,980",786,700,"45,756","30,942","14,814","1,218",-816,-505
PEG,18.12/31,"2,468",501,199,"45,326","30,949","14,377",421,-803,475
PEG,18.09/30,"2,394",554,412,"45,073","30,714","14,359",859,"-1,086",222
PRU,24.09/30,"19,490",553,448,"17,443","727,719","30,416","1,105","-5,700","7,429"
PRU,24.06/30,"14,883","1,415","1,198","15,604","685,091","28,013",-146,"-5,340","4,002"
PRU,24.03/31,"23,509","1,390","1,138","15,746","696,409","27,209","5,221","-10,244","4,543"
PRU,23.12/31,"15,084","1,662","1,317","15,729","691,336","27,820","1,103","-3,098","4,272"
PRU,23.09/30,"8,352","-1,058",-802,0,"654,307","25,814","2,840","-2,881","2,353"
PRU,23.06/30,"13,498",621,511,0,"667,849","28,434","1,224","-2,840","-1,015"
PRU,23.03/31,"17,045","1,847","1,462",0,"676,822","31,385","1,343","-3,303","2,129"
PRU,22.12/31,"13,433",-40,-52,"5,733","657,110","30,593",-622,"-3,376",858
PRU,22.09/30,"20,201",-126,-92,0,"660,576","16,502","4,278","-1,022","2,611"
PRU,22.06/30,"11,392","-1,068","-1,010",0,"666,681","28,235","1,501","-3,735","1,038"
PRU,22.03/31,"11,855",-658,-493,0,"833,388","43,978",1.00,495,426
PRU,21.12/31,"16,737","2,842","2,352",0,"874,974","61,876","3,333","-5,939",516
PRU,21.09/30,"21,641","1,806","1,530",0,"870,023","61,887","5,417","-2,565",-860
PRU,21.06/30,"15,917","2,773","2,158",0,"862,777","63,048","4,359","-3,314","-1,997"
PRU,21.03/31,"16,952","3,414","2,828",0,"848,504","58,036","-3,297","6,476",-670
PRU,20.12/31,"16,029",900,819,0,"872,512","67,425","-4,513","-2,471",-183
PRU,20.09/30,"15,425","1,447","1,487",0,"844,699","66,217",-598,-390,379
PRU,20.06/30,"12,115","-2,332","-2,409",0,"848,879","65,897","-1,287","-7,569","-1,672"
PRU,20.03/31,"13,464",-338,-271,0,"812,640","60,447","14,766","-5,780","6,359"
PRU,19.12/31,"19,223","1,344","1,128",0,"832,833","63,115","3,985","-3,912","-1,992"
PRU,19.09/30,"15,105","1,725","1,418",0,"819,312","65,798","7,316","-5,079",597
PRU,19.06/30,"15,388",876,708,0,"811,672","61,660","5,239","-2,738","-1,805"
