,금리,금리등락률,GDP,GDP등락률,유가,유가등락률,S&P500
223,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92
224,2.25,0.0,2.5,0.0,73.76,0.0,290.72
225,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
226,5.5,0.0,3.0,1.4,85.26,3.96,534.01
227,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
228,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
229,5.5,0.25,4.4,2.0,86.72,8.92,443.37
230,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
231,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
232,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
233,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
234,1.75,1.25,0.3,1.3,108.08,12.49,389.8
235,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
236,0.25,0.0,7.4,3.9,80.0,10.0,453.42
237,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
238,0.25,0.0,6.4,0.8,66.0,6.0,422.6
239,0.25,0.0,5.6,1.2,60.0,14.5,383.63
240,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
241,0.25,0.0,35.2,63.9,42.9,12.4,342.57
242,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34
243,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46
244,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41
245,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12
246,2.5,0.0,2.4,-0.1,66.7,3.6,293.0
247,2.5,0.0,2.5,1.9,63.1,-1.93,282.48
248,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92
249,2.25,0.0,2.5,0.0,73.76,0.0,290.72
250,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
251,5.5,0.0,3.0,1.4,85.26,3.96,534.01
252,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
253,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
254,5.5,0.25,4.4,2.0,86.72,8.92,443.37
255,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
256,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
257,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
258,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
259,1.75,1.25,0.3,1.3,108.08,12.49,389.8
260,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
261,0.25,0.0,7.4,3.9,80.0,10.0,453.42
262,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
263,0.25,0.0,6.4,0.8,66.0,6.0,422.6
264,0.25,0.0,5.6,1.2,60.0,14.5,383.63
265,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
266,0.25,0.0,35.2,63.9,42.9,12.4,342.57
267,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34
268,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46
269,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41
270,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12
271,2.5,0.0,2.4,-0.1,66.7,3.6,293.0
272,2.5,0.0,2.5,1.9,63.1,-1.93,282.48
273,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92
274,2.25,0.0,2.5,0.0,73.76,0.0,290.72
275,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
276,5.5,0.0,3.0,1.4,85.26,3.96,534.01
277,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
278,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
279,5.5,0.25,4.4,2.0,86.72,8.92,443.37
280,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
281,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
282,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
283,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
284,1.75,1.25,0.3,1.3,108.08,12.49,389.8
285,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
286,0.25,0.0,7.4,3.9,80.0,10.0,453.42
287,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
288,0.25,0.0,6.4,0.8,66.0,6.0,422.6
289,0.25,0.0,5.6,1.2,60.0,14.5,383.63
290,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
291,0.25,0.0,35.2,63.9,42.9,12.4,342.57
292,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34
293,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46
294,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41
295,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12
296,2.5,0.0,2.4,-0.1,66.7,3.6,293.0
297,2.5,0.0,2.5,1.9,63.1,-1.93,282.48
298,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92
299,2.25,0.0,2.5,0.0,73.76,0.0,290.72
300,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
301,5.5,0.0,3.0,1.4,85.26,3.96,534.01
302,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
303,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
304,5.5,0.25,4.4,2.0,86.72,8.92,443.37
305,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
306,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
307,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
308,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
309,1.75,1.25,0.3,1.3,108.08,12.49,389.8
310,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
311,0.25,0.0,7.4,3.9,80.0,10.0,453.42
312,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
313,0.25,0.0,6.4,0.8,66.0,6.0,422.6
314,0.25,0.0,5.6,1.2,60.0,14.5,383.63
315,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
316,0.25,0.0,35.2,63.9,42.9,12.4,342.57
317,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34
318,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46
319,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41
320,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12
321,2.5,0.0,2.4,-0.1,66.7,3.6,293.0
322,2.5,0.0,2.5,1.9,63.1,-1.93,282.48
323,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92
